"Curve Name","Curve Length (um)","Average Curvature (um-1)","Curvature Std (um-1)","X-Coordinate (um)","Y-Coordinate (um)","Point Curvature (um-1)","Point Curvature Sign","Red Intensity","Green Intensity","Blue Intensity"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.013731343283582088","0.1271641791044776","47.29170892251931","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.013899661498283273","0.12736499890759215","48.314062154631415","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.014068786564157968","0.1275616948521552","49.33944207883585","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.014238705457146488","0.12775429711413025","50.36633623532928","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.01440940515318913","0.12794283586948071","51.39315014982626","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.014580872628226207","0.12812734129416997","52.418210107266646","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.014753094858198023","0.1283078435641616","53.439766686796396","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.01492605881904488","0.12848437285541894","54.45599911696884","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.01509975148670709","0.12865695934390545","55.46502041793419","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.015274159837124952","0.1288256332055846","56.464883392809256","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.015449270846238776","0.12899042461641982","57.45358744568015","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.015625071489988866","0.12915136375237454","58.42908620825801","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.015801548744315528","0.12930848078941226","59.38929596752604","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.01597868958515907","0.1294618059034964","60.33210484712568","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.016156480988459797","0.1296113692705904","61.25538269405111","1","0.0","0.0","0.0"
"CURVE 4","0.08475138318040903","24.23626662403972","20.30983505270607","0.016334909930158015","0.12975720106665767","62.15699162968856","1","0.0","0.0","0.0"
